Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,1873.2,2,-12.149999999999864,-0.6444426764261206,1125,1821.6,1967.3,1885.35,1873.2,1967.3,1920.25,2,0.96,1,1,2,21250.0,30-Jan-2025,Call,1967.3,0.0,0.0,0.00038405
Index Options,NSE,0.85,978624,-0.9500000000000001,-52.77777777777778,361700,0.85,1.7,1.8,0.85,1.95,1.25,978624,305.82,190031,54499,978624,21250.0,30-Jan-2025,Put,1.7,0.0,0.0,0.122328
Index Options,NSE,0.0,0,0.0,0.0,1125,1765.1,0.0,3313.8,0.0,0.0,0.0,0,0.0,0,0,0,21300.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.9,705282,-1.0499999999999998,-53.84615384615385,275525,0.85,1.75,1.95,0.85,1.95,1.31,705282,230.98,86710,39804,705282,21300.0,30-Jan-2025,Put,1.75,0.0,0.0,0.092391942
Index Options,NSE,1790.0,0,0.0,0.0,1125,1715.5,0.0,1790.0,0.0,0.0,0.0,0,0.0,6,0,0,21350.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.1,280661,-1.0499999999999998,-48.837209302325576,48525,1.1,1.75,2.15,1.1,2.35,1.58,280661,110.86,122047,11600,280661,21350.0,30-Jan-2025,Put,1.75,0.0,0.0,0.044344438
Index Options,NSE,1694.6,5,-26.300000000000182,-1.528270091231343,1125,1670.8,1904.05,1720.9,1694.6,1904.05,1814.44,5,2.27,19,-1,5,21400.0,30-Jan-2025,Call,1904.05,0.0,0.0,0.00090722
Index Options,NSE,1.1,298312,-1.25,-53.191489361702125,8525,1.1,2.2,2.35,1.1,2.3,1.6,298312,119.32,69529,1639,298312,21400.0,30-Jan-2025,Put,2.2,0.0,0.0,0.04772992
Index Options,NSE,1792.0,0,0.0,0.0,1125,1615.25,0.0,1792.0,0.0,0.0,0.0,0,0.0,4,0,0,21450.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.25,129490,-1.15,-47.916666666666664,1075,1.25,1.4,2.4,1.15,2.7,1.7,129490,55.03,17457,3130,129490,21450.0,30-Jan-2025,Put,1.4,0.0,0.0,0.0220133
