Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,1978.3,6,100.7,5.363229655,225,2011.3,1877.6,1877.6,1877.6,1978.3,1908.24,6,8.59,6,-2,6,21350,23-Jan-2025,Call,1877.6,0,0,0.001144944
Index Options,NSE,1.35,312434,0.05,3.846153846,2550,1.35,1.3,1.3,1.05,1.6,1.31,312434,306.97,89175,17657,312434,21350,23-Jan-2025,Put,1.3,0,0,0.040928854
Index Options,NSE,0,0,0,0,750,1913.25,0,2704.25,0,0,0,0,0,0,0,0,21400,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,1.5,172041,0.15,11.11111111,150,1.45,1.25,1.35,1,1.75,1.42,172041,183.22,46958,6823,172041,21400,23-Jan-2025,Put,1.25,0,0,0.024429822
Index Options,NSE,0,0,0,0,750,1863.25,0,2655.1,0,0,0,0,0,0,0,0,21450,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,1.55,59605,0.1,6.896551724,375,1.55,1.3,1.45,0.95,1.9,1.51,59605,67.5,8627,3161,59605,21450,23-Jan-2025,Put,1.3,0,0,0.009000355
Index Options,NSE,0,0,0,0,750,1821.05,0,2606,0,0,0,0,0,0,0,0,21500,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,1.85,280947,0.2,12.12121212,4575,1.75,1.25,1.65,1.15,2.05,1.7,280947,358.21,67232,13413,280947,21500,23-Jan-2025,Put,1.25,0,0,0.04776099
Index Options,NSE,0,0,0,0,750,1763.9,0,2557,0,0,0,0,0,0,0,0,21550,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2,47241,0.3,17.64705882,4800,1.85,1.3,1.7,1.05,2.2,1.8,47241,63.78,7311,4403,47241,21550,23-Jan-2025,Put,1.3,0,0,0.00850338
Index Options,NSE,0,0,0,0,750,1714.2,0,2508.05,0,0,0,0,0,0,0,0,21600,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2,126887,0.25,14.28571429,7200,1.9,1.4,1.75,1.1,2.3,1.9,126887,180.81,29285,5297,126887,21600,23-Jan-2025,Put,1.4,0,0,0.02410853
Index Options,NSE,0,0,0,0,750,1664.25,0,2459.15,0,0,0,0,0,0,0,0,21650,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2.1,47345,0.2,10.52631579,150,2.1,1.1,1.9,1.1,3,1.99,47345,70.66,5900,272,47345,21650,23-Jan-2025,Put,1.1,0,0,0.009421655
Index Options,NSE,0,0,0,0,750,1611.35,0,1550,0,0,0,0,0,5,0,0,21700,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2.1,153380,0.05,2.43902439,225,2.05,1.55,2.05,1.25,2.5,2.07,153380,238.12,34724,98,153380,21700,23-Jan-2025,Put,1.55,0,0,0.03174966
Index Options,NSE,0,0,0,0,750,1559.3,0,2361.75,0,0,0,0,0,0,0,0,21750,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2.15,68686,0,0,600,2.1,1.55,2.15,1.3,2.7,2.11,68686,108.7,6267,-3380,68686,21750,23-Jan-2025,Put,1.55,0,0,0.014492746
Index Options,NSE,1478.35,1,-51.65,-3.375816993,150,1528.1,1478.35,1530,1478.35,1478.35,1478.35,1,1.11,3,0,1,21800,23-Jan-2025,Call,1478.35,0,0,0.000147835
Index Options,NSE,2.25,234255,-0.1,-4.255319149,450,2.25,1.8,2.35,1.5,2.8,2.28,234255,400.58,48474,8705,234255,21800,23-Jan-2025,Put,1.8,0,0,0.05341014
Index Options,NSE,0,0,0,0,750,1468.45,0,2264.8,0,0,0,0,0,0,0,0,21850,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2.6,100680,-0.1,-3.703703704,225,2.6,3.15,2.7,1.55,3.15,2.52,100680,190.29,17185,12951,100680,21850,23-Jan-2025,Put,3.15,0,0,0.02537136
Index Options,NSE,0,0,0,0,750,1419.1,0,2216.5,0,0,0,0,0,0,0,0,21900,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2.6,233385,-0.5,-16.12903226,2100,2.6,2.25,3.1,1.7,3.2,2.65,233385,463.85,35826,6561,233385,21900,23-Jan-2025,Put,2.25,0,0,0.061847025
Index Options,NSE,0,0,0,0,750,1369.6,0,2168.35,0,0,0,0,0,0,0,0,21950,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,2.9,105234,-0.4,-12.12121212,7350,2.9,2.25,3.3,2,3.4,2.9,105234,228.88,16112,10222,105234,21950,23-Jan-2025,Put,2.25,0,0,0.03051786
Index Options,NSE,1370,71,136,11.02106969,225,1364.2,1245,1234,1215.35,1398.65,1339.63,71,71.34,159,13,71,22000,23-Jan-2025,Call,1245,0,0,0.009511373
Index Options,NSE,3.45,689764,-0.3,-8,5550,3.1,2.85,3.75,2.25,3.8,3.12,689764,1614.05,135586,46478,689764,22000,23-Jan-2025,Put,2.85,0,0,0.215206368
Index Options,NSE,0,0,0,0,750,1270.3,0,2072.6,0,0,0,0,0,0,0,0,22050,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,3.1,96769,-0.95,-23.45679012,600,3.15,3.95,4.05,2.35,4.35,3.35,96769,243.13,15815,4949,96769,22050,23-Jan-2025,Put,3.95,0,0,0.032417615
Index Options,NSE,0,0,0,0,750,1220.75,0,1137.6,0,0,0,0,0,23,0,0,22100,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,3.85,238072,-0.65,-14.44444444,2250,3.4,3.45,4.5,2.35,4.9,3.71,238072,662.44,41480,24575,238072,22100,23-Jan-2025,Put,3.45,0,0,0.088324712
Index Options,NSE,0,0,0,0,750,1171.15,0,1977.6,0,0,0,0,0,0,0,0,22150,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,3.8,99256,-1.2,-24,450,3.55,3.65,5,2.6,5.6,4.03,99256,300,9633,5214,99256,22150,23-Jan-2025,Put,3.65,0,0,0.040000168
Index Options,NSE,1196.05,95,210.5,21.35863224,150,1165.05,1060.8,985.55,1015.75,1204.8,1069.49,95,76.2,20,5,95,22200,23-Jan-2025,Call,1060.8,0,0,0.010160155
Index Options,NSE,4,392631,-1.5,-27.27272727,1500,4,5.4,5.5,2.8,6.35,4.38,392631,1289.79,69819,23669,392631,22200,23-Jan-2025,Put,5.4,0,0,0.171972378
Index Options,NSE,0,0,0,0,750,1072.2,0,1883.5,0,0,0,0,0,0,0,0,22250,23-Jan-2025,Call,0,0,0,0
Index Options,NSE,4.8,186685,-1.55,-24.40944882,1425,4.2,4.75,6.35,3.55,7.65,4.91,186685,687.47,13440,3446,186685,22250,23-Jan-2025,Put,4.75,0,0,0.091662335
Index Options,NSE,1068.2,87,125.1,13.26476514,150,1066.75,981.35,943.1,904.45,1111.3,986.09,87,64.34,132,-13,87,22300,23-Jan-2025,Call,981.35,0,0,0.008578983
Index Options,NSE,4.55,318948,-2.95,-39.33333333,375,4.55,8.3,7.5,4.15,9.3,5.5,318948,1315.66,38694,5506,318948,22300,23-Jan-2025,Put,8.3,0,0,0.1754214
Index Options,NSE,1041.6,4,134.45,14.82114314,150,1016.35,953,907.15,953,1045.95,1020.68,4,3.06,2,0,4,22350,23-Jan-2025,Call,953,0,0,0.000408272
Index Options,NSE,4.55,163863,-4,-46.78362573,675,4.55,5.15,8.55,4.25,11.1,6.44,163863,791.46,13622,5204,163863,22350,23-Jan-2025,Put,5.15,0,0,0.105527772
Index Options,NSE,969.5,142,118.7,13.95157499,150,968.05,870.05,850.8,805,994.8,904.66,142,96.35,87,18,142,22400,23-Jan-2025,Call,870.05,0,0,0.012846172
Index Options,NSE,5.6,440355,-4.45,-44.27860697,4725,5.6,8.05,10.05,5.2,13.4,7.26,440355,2397.73,41102,8626,440355,22400,23-Jan-2025,Put,8.05,0,0,0.31969773
Index Options,NSE,945.45,172,149.1,18.72292334,150,918.6,781.4,796.35,760.95,970.45,907.41,172,117.06,62,53,172,22450,23-Jan-2025,Call,781.4,0,0,0.015607452
Index Options,NSE,6.2,252722,-5.4,-46.55172414,375,6.2,6.95,11.6,6,16.05,8.61,252722,1631.95,11046,30,252722,22450,23-Jan-2025,Put,6.95,0,0,0.217593642
Index Options,NSE,869.25,1905,119.75,15.97731821,150,870.25,792.05,749.5,706.25,922,802.67,1905,1146.81,719,-208,1905,22500,23-Jan-2025,Call,792.05,0,0,0.152908635
Index Options,NSE,7.2,646977,-6.75,-48.38709677,225,7.25,11.85,13.95,6.85,19.55,10.24,646977,4968.78,83635,27073,646977,22500,23-Jan-2025,Put,11.85,0,0,0.662504448
Index Options,NSE,839.75,85,112.75,15.50894085,150,820.65,669.5,727,669.5,842.95,799.79,85,50.99,49,30,85,22550,23-Jan-2025,Call,669.5,0,0,0.006798215
Index Options,NSE,8.1,263036,-8.15,-50.15384615,600,8,11.2,16.25,7.6,23.35,11.97,263036,2361.41,12765,1205,263036,22550,23-Jan-2025,Put,11.2,0,0,0.314854092
Index Options,NSE,769.95,346,117.3,17.9728798,750,772.05,706.15,652.65,616.4,820,714.45,346,185.4,206,29,346,22600,23-Jan-2025,Call,706.15,0,0,0.02471997
Index Options,NSE,8.75,477170,-10.2,-53.82585752,675,8.8,21.05,18.95,8.55,27.85,13.86,477170,4960.18,36751,13062,477170,22600,23-Jan-2025,Put,21.05,0,0,0.66135762
Index Options,NSE,721.5,271,115.15,18.99068195,375,724.1,602.3,606.35,578.4,748.65,691.84,271,140.62,105,38,271,22650,23-Jan-2025,Call,602.3,0,0,0.018748864
Index Options,NSE,10.75,282407,-11.85,-52.43362832,600,10.15,17.65,22.6,9.9,33.35,16.38,282407,3469.37,13904,2814,282407,22650,23-Jan-2025,Put,17.65,0,0,0.462582666
Index Options,NSE,672.6,1776,111.7,19.91442325,1050,675.45,615,560.9,526.1,729.6,612.62,1776,816.01,565,81,1776,22700,23-Jan-2025,Call,615,0,0,0.108801312
Index Options,NSE,12.4,649475,-14.45,-53.81750466,525,12,23.85,26.85,11.4,39.8,20,649475,9742.13,35856,-26208,649475,22700,23-Jan-2025,Put,23.85,0,0,1.29895
Index Options,NSE,621.95,696,103.8,20.03280903,150,627.5,549.35,518.15,485,650.6,569.99,696,297.53,309,-8,696,22750,23-Jan-2025,Call,549.35,0,0,0.039671304
Index Options,NSE,14.3,359712,-18.35,-56.20214395,225,13.65,32.65,32.65,13.05,48.4,23.12,359712,6237.41,16243,5712,359712,22750,23-Jan-2025,Put,32.65,0,0,0.831654144
Index Options,NSE,581.65,6470,105.25,22.09277918,150,581.35,524,476.4,442.25,632.1,528.64,6470,2565.23,1251,-40,6470,22800,23-Jan-2025,Call,524,0,0,0.34203008
Index Options,NSE,16.75,922836,-22.3,-57.10627401,1650,16.5,30,39.05,15.45,57.1,26.6,922836,18410.58,44868,13048,922836,22800,23-Jan-2025,Put,30,0,0,2.45474376
Index Options,NSE,529.5,1523,98.15,22.75414397,150,534,467.95,431.35,403.1,585.8,482.34,1523,550.95,563,81,1523,22850,23-Jan-2025,Call,467.95,0,0,0.073460382
Index Options,NSE,19.1,372329,-27.75,-59.23159018,600,19.15,47.4,46.85,18.1,68.05,31.78,372329,8874.46,20361,8296,372329,22850,23-Jan-2025,Put,47.4,0,0,1.183261562
Index Options,NSE,490,9569,96.75,24.60267006,150,488.15,433.55,393.25,364.5,539.5,431.08,9569,3093.75,1241,-288,9569,22900,23-Jan-2025,Call,433.55,0,0,0.412500452
Index Options,NSE,23.4,670362,-32.15,-57.87578758,1050,23.05,43.85,55.55,21.65,78.35,38.12,670362,19165.65,34710,1310,670362,22900,23-Jan-2025,Put,43.85,0,0,2.555419944
Index Options,NSE,445.05,5402,94.25,26.86716078,150,442.8,374.05,350.8,327.95,493.5,386.1,5402,1564.28,1115,-21,5402,22950,23-Jan-2025,Call,374.05,0,0,0.20857122
