Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21350,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21350,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21450,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21450,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21550,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21550,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21650,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21650,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21700,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21700,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21750,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21750,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21800,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21800,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21850,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21850,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21950,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21950,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22050,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22050,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22100,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22100,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22150,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22150,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22250,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22250,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22300,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22300,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22350,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22350,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22400,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22400,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22450,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22450,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22550,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22550,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22600,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22600,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22650,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22650,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22700,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22700,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22750,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22750,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22850,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22850,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22900,23-Jan-25,Call,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22900,23-Jan-25,Put,0,0,0,0
Index Options,NSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22950,23-Jan-25,Call,0,0,0,0
