Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,8425.0,2,293.35000000000036,3.6075089311517385,600,8377.7,8500.0,8131.65,8425.0,8500.0,8462.5,2,2.54,2,0,2,40500.0,30-Jan-2025,Call,8500.0,0.0,0.0,0.0016925
Index Options,NSE,4.4,32453,-0.1999999999999993,-4.347826086956506,10320,4.4,4.1,4.6,3.8,5.05,4.47,32453,21.76,29101,-1482,32453,40500.0,30-Jan-2025,Put,4.1,0.0,0.0,0.014506491
Index Options,NSE,0.0,0,0.0,0.0,600,7850.25,0.0,11556.25,0.0,0.0,0.0,0,0.0,0,0,0,41000.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.6,19502,-0.6500000000000004,-12.380952380952388,2835,4.6,4.5,5.25,4.45,5.35,4.69,19502,13.72,47143,-1133,19502,41000.0,30-Jan-2025,Put,4.5,0.0,0.0,0.009146438
Index Options,NSE,0.0,0,0.0,0.0,600,7349.4,0.0,11070.15,0.0,0.0,0.0,0,0.0,0,0,0,41500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.75,18425,-0.75,-13.636363636363635,9360,4.75,5.05,5.5,4.65,5.8,4.88,18425,13.49,25896,-1165,18425,41500.0,30-Jan-2025,Put,5.05,0.0,0.0,0.0089914
Index Options,NSE,0.0,0,0.0,0.0,600,6840.05,0.0,6653.5,0.0,0.0,0.0,0,0.0,98,0,0,42000.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,5.0,30029,-0.7999999999999998,-13.79310344827586,1065,5.0,5.1,5.8,4.85,5.8,5.2,30029,23.42,44819,-2739,30029,42000.0,30-Jan-2025,Put,5.1,0.0,0.0,0.015615080000000002
Index Options,NSE,0.0,0,0.0,0.0,600,6342.75,0.0,7490.0,0.0,0.0,0.0,0,0.0,65,0,0,42500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,5.55,29144,-1.0,-15.267175572519085,1980,5.5,6.8,6.55,5.5,7.0,6.0,29144,26.23,43375,-1937,29144,42500.0,30-Jan-2025,Put,6.8,0.0,0.0,0.0174864
