Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0.0,0,0.0,0.0,1125,1811.45,0.0,1978.3,0.0,0.0,0.0,0,0.0,5,0,0,21350.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.1,184247,-0.1499999999999999,-11.999999999999993,135600,1.1,1.15,1.25,0.95,1.7,1.07,184247,147.86,79238,-9527,184247,21350.0,23-Jan-2025,Put,1.15,0.0,0.0,0.019714429000000002
Index Options,NSE,0.0,0,0.0,0.0,1125,1763.7,0.0,2704.25,0.0,0.0,0.0,0,0.0,0,0,0,21400.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.2,65560,-0.19999999999999996,-14.285714285714283,59025,1.2,1.25,1.4,1.0,1.8,1.15,65560,56.55,42039,-4883,65560,21400.0,23-Jan-2025,Put,1.25,0.0,0.0,0.0075394
Index Options,NSE,0.0,0,0.0,0.0,1125,1722.25,0.0,2655.1,0.0,0.0,0.0,0,0.0,0,0,0,21450.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.25,30035,-0.30000000000000004,-19.35483870967742,11325,1.25,1.25,1.55,0.9,1.9,1.22,30035,27.48,7004,-1596,30035,21450.0,23-Jan-2025,Put,1.25,0.0,0.0,0.00366427
Index Options,NSE,0.0,0,0.0,0.0,1125,1665.05,0.0,2606.0,0.0,0.0,0.0,0,0.0,0,0,0,21500.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.4,128268,-0.40000000000000013,-22.22222222222223,115500,1.35,1.3,1.8,1.15,2.05,1.38,128268,132.76,64549,-3039,128268,21500.0,23-Jan-2025,Put,1.3,0.0,0.0,0.017700984
Index Options,NSE,0.0,0,0.0,0.0,1125,1613.35,0.0,2557.0,0.0,0.0,0.0,0,0.0,0,0,0,21550.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.35,27280,-0.5,-27.027027027027025,29625,1.35,1.35,1.85,1.2,2.2,1.41,27280,28.85,6433,-864,27280,21550.0,23-Jan-2025,Put,1.35,0.0,0.0,0.0038464799999999998
Index Options,NSE,0.0,0,0.0,0.0,1125,1562.85,0.0,2508.05,0.0,0.0,0.0,0,0.0,0,0,0,21600.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.45,65035,-0.55,-27.500000000000004,25650,1.45,1.4,2.0,1.25,2.35,1.49,65035,72.68,28703,-499,65035,21600.0,23-Jan-2025,Put,1.4,0.0,0.0,0.009690214999999999
Index Options,NSE,0.0,0,0.0,0.0,1125,1521.05,0.0,2459.15,0.0,0.0,0.0,0,0.0,0,0,0,21650.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.5,36804,-0.5499999999999998,-26.829268292682922,15600,1.45,1.6,2.05,1.35,2.45,1.53,36804,42.23,5939,164,36804,21650.0,23-Jan-2025,Put,1.6,0.0,0.0,0.005631012
Index Options,NSE,0.0,0,0.0,0.0,1125,1465.95,0.0,1550.0,0.0,0.0,0.0,0,0.0,5,0,0,21700.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.5,86968,-0.7000000000000002,-31.818181818181824,112800,1.45,1.6,2.2,1.35,2.4,1.52,86968,99.14,29823,-4542,86968,21700.0,23-Jan-2025,Put,1.6,0.0,0.0,0.013219136000000001
Index Options,NSE,0.0,0,0.0,0.0,1125,1440.45,0.0,2361.75,0.0,0.0,0.0,0,0.0,0,0,0,21750.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.6,28538,-0.6499999999999999,-28.888888888888886,8175,1.6,1.55,2.25,1.4,2.65,1.62,28538,34.67,5532,-706,28538,21750.0,23-Jan-2025,Put,1.55,0.0,0.0,0.004623156000000001
