Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0.0,0,0.0,0.0,600,8219.0,0.0,8425.0,0.0,0.0,0.0,0,0.0,2,0,0,40500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.3,108299,-0.8500000000000005,-20.481927710843383,195,3.3,4.5,4.15,3.1,4.75,3.72,108299,60.43,37109,7128,108299,40500.0,30-Jan-2025,Put,4.5,0.0,0.0,0.040287228
Index Options,NSE,0.0,0,0.0,0.0,600,7730.7,0.0,11556.25,0.0,0.0,0.0,0,0.0,0,0,0,41000.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.7,93489,-0.6499999999999995,-14.942528735632173,3750,3.6,4.45,4.35,3.3,4.8,3.8,93489,53.29,48065,1474,93489,41000.0,30-Jan-2025,Put,4.45,0.0,0.0,0.03552582
Index Options,NSE,0.0,0,0.0,0.0,600,7231.3,0.0,11070.15,0.0,0.0,0.0,0,0.0,0,0,0,41500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.75,84400,-0.9500000000000002,-20.212765957446813,1830,3.75,4.5,4.7,3.65,4.8,4.17,84400,52.79,22923,-424,84400,41500.0,30-Jan-2025,Put,4.5,0.0,0.0,0.0351948
Index Options,NSE,6863.3,17,73.30000000000018,1.079528718703979,30,6843.95,6750.0,6790.0,6550.0,6864.95,6709.13,17,17.11,93,-11,17,42000.0,30-Jan-2025,Call,6750.0,0.0,0.0,0.011405521
Index Options,NSE,4.05,68388,-1.0499999999999998,-20.588235294117645,10065,4.05,4.75,5.1,3.7,5.15,4.35,68388,44.62,35340,-2875,68388,42000.0,30-Jan-2025,Put,4.75,0.0,0.0,0.02974878
Index Options,NSE,0.0,0,0.0,0.0,600,6213.85,0.0,7490.0,0.0,0.0,0.0,0,0.0,65,0,0,42500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.55,84573,-1.2000000000000002,-20.869565217391308,2565,4.3,5.15,5.75,4.1,6.1,5.08,84573,64.44,37915,1216,84573,42500.0,30-Jan-2025,Put,5.15,0.0,0.0,0.042963084000000006
Index Options,NSE,5860.0,90,76.85000000000036,1.3288605690670374,30,5848.05,5680.0,5783.15,5244.45,5860.0,5484.98,90,74.05,1082,-14,90,43000.0,30-Jan-2025,Call,5680.0,0.0,0.0,0.04936482
Index Options,NSE,4.8,116175,-1.9000000000000004,-28.358208955223883,15,4.5,6.15,6.7,4.3,7.45,5.85,116175,101.94,50982,4469,116175,43000.0,30-Jan-2025,Put,6.15,0.0,0.0,0.067962375
