Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0.0,0,0.0,0.0,1125,1801.65,0.0,2852.05,0.0,0.0,0.0,0,0.0,0,0,0,21250.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.4,307299,-1.75,-81.3953488372093,33975,0.35,0.8,2.15,0.3,0.8,0.55,307299,126.76,13525,0,307299,21250.0,23-Jan-2025,Put,0.8,0.0,0.0,0.016901445
Index Options,NSE,0.0,0,0.0,0.0,1125,1753.75,0.0,2802.75,0.0,0.0,0.0,0,0.0,0,0,0,21300.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.35,115037,-2.15,-86.0,129975,0.35,0.7,2.5,0.35,0.85,0.56,115037,48.32,2813,0,115037,21300.0,23-Jan-2025,Put,0.7,0.0,0.0,0.006442072000000001
Index Options,NSE,0.0,0,0.0,0.0,1125,1763.7,0.0,1978.3,0.0,0.0,0.0,0,0.0,5,0,0,21350.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.4,365662,-0.35,-46.666666666666664,33225,0.4,0.65,0.75,0.4,0.75,0.6,365662,164.55,62626,-26932,365662,21350.0,23-Jan-2025,Put,0.65,0.0,0.0,0.02193972
Index Options,NSE,0.0,0,0.0,0.0,1125,1710.3,0.0,2704.25,0.0,0.0,0.0,0,0.0,0,0,0,21400.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.45,198790,-0.3,-40.0,29100,0.4,0.75,0.75,0.35,0.8,0.6,198790,89.46,32696,-12194,198790,21400.0,23-Jan-2025,Put,0.75,0.0,0.0,0.0119274
Index Options,NSE,1705.25,8,-949.8499999999999,-35.774547098037736,1200,1677.2,1610.15,2655.1,1610.15,1710.95,1671.58,8,10.03,2,2,8,21450.0,23-Jan-2025,Call,1610.15,0.0,0.0,0.001337264
Index Options,NSE,0.45,53497,-0.3,-40.0,5475,0.45,0.75,0.75,0.4,0.95,0.67,53497,26.88,7677,-314,53497,21450.0,23-Jan-2025,Put,0.75,0.0,0.0,0.0035842990000000004
Index Options,NSE,0.0,0,0.0,0.0,1125,1613.1,0.0,2606.0,0.0,0.0,0.0,0,0.0,0,0,0,21500.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.65,263742,-0.15000000000000002,-18.750000000000004,150,0.6,0.65,0.8,0.55,0.95,0.72,263742,142.42,53289,-6389,263742,21500.0,23-Jan-2025,Put,0.65,0.0,0.0,0.018989423999999998
Index Options,NSE,0.0,0,0.0,0.0,1125,1482.6,0.0,2557.0,0.0,0.0,0.0,0,0.0,0,0,0,21550.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.55,48706,-0.29999999999999993,-35.29411764705881,450,0.55,0.75,0.85,0.5,1.05,0.79,48706,28.86,3963,-754,48706,21550.0,23-Jan-2025,Put,0.75,0.0,0.0,0.0038477740000000004
Index Options,NSE,0.0,0,0.0,0.0,1125,1515.65,0.0,2508.05,0.0,0.0,0.0,0,0.0,0,0,0,21600.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.65,127792,-0.25,-27.77777777777778,3075,0.65,0.65,0.9,0.6,1.1,0.83,127792,79.55,25681,2444,127792,21600.0,23-Jan-2025,Put,0.65,0.0,0.0,0.010606736
Index Options,NSE,0.0,0,0.0,0.0,1125,1465.7,0.0,2459.15,0.0,0.0,0.0,0,0.0,0,0,0,21650.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.7,57822,-0.25,-26.31578947368421,5175,0.7,0.8,0.95,0.55,1.2,0.87,57822,37.73,5031,-206,57822,21650.0,23-Jan-2025,Put,0.8,0.0,0.0,0.005030514
Index Options,NSE,0.0,0,0.0,0.0,1125,1415.55,0.0,1550.0,0.0,0.0,0.0,0,0.0,5,0,0,21700.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.65,179892,-0.35,-35.0,675,0.65,1.0,1.0,0.55,1.2,0.86,179892,116.03,19169,-8203,179892,21700.0,23-Jan-2025,Put,1.0,0.0,0.0,0.015470712
Index Options,NSE,0.0,0,0.0,0.0,1125,1365.65,0.0,2361.75,0.0,0.0,0.0,0,0.0,0,0,0,21750.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.6,84128,-0.45000000000000007,-42.85714285714286,1350,0.6,0.8,1.05,0.55,1.3,0.94,84128,59.31,5707,66,84128,21750.0,23-Jan-2025,Put,0.8,0.0,0.0,0.007908031999999999
Index Options,NSE,1322.0,1,-80.5,-5.739750445632798,450,1357.6,1322.0,1402.5,1322.0,1322.0,1322.0,1,0.99,4,0,1,21800.0,23-Jan-2025,Call,1322.0,0.0,0.0,0.0001322
Index Options,NSE,0.55,247644,-0.7,-55.99999999999999,3750,0.5,1.2,1.25,0.5,1.35,0.92,247644,170.87,29279,-3375,247644,21800.0,23-Jan-2025,Put,1.2,0.0,0.0,0.022783248000000002
Index Options,NSE,0.0,0,0.0,0.0,1125,1265.7,0.0,2264.8,0.0,0.0,0.0,0,0.0,0,0,0,21850.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.9,101347,-0.4999999999999999,-35.71428571428571,525,0.75,1.3,1.4,0.75,1.6,1.08,101347,82.09,15855,2410,101347,21850.0,23-Jan-2025,Put,1.3,0.0,0.0,0.010945476
Index Options,NSE,0.0,0,0.0,0.0,1125,1215.9,0.0,2216.5,0.0,0.0,0.0,0,0.0,0,0,0,21900.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.85,197881,-0.65,-43.333333333333336,75,0.8,1.05,1.5,0.8,1.6,1.19,197881,176.61,32583,3701,197881,21900.0,23-Jan-2025,Put,1.05,0.0,0.0,0.023547838999999997
