Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,7898.15,5,-271.85000000000036,-3.327417380660959,15,7745.15,7975.0,8170.0,7887.15,7975.0,7916.24,5,5.94,3,0,5,40500.0,30-Jan-2025,Call,7975.0,0.0,0.0,0.00395812
Index Options,NSE,1.3,258209,-0.44999999999999996,-25.71428571428571,6360,1.3,1.75,1.75,0.95,1.9,1.26,258209,48.8,48691,-11177,258209,40500.0,30-Jan-2025,Put,1.75,0.0,0.0,0.032534334000000005
Index Options,NSE,0.0,0,0.0,0.0,600,7190.0,0.0,11556.25,0.0,0.0,0.0,0,0.0,0,0,0,41000.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.5,32504,-0.75,-33.33333333333333,2955,1.45,2.45,2.25,1.2,2.45,1.69,32504,8.24,47574,-1806,32504,41000.0,30-Jan-2025,Put,2.45,0.0,0.0,0.005493176
Index Options,NSE,0.0,0,0.0,0.0,600,6699.3,0.0,11070.15,0.0,0.0,0.0,0,0.0,0,0,0,41500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.55,28733,-0.7499999999999998,-32.60869565217391,90,1.55,2.3,2.3,1.2,2.3,1.71,28733,7.37,13414,-1811,28733,41500.0,30-Jan-2025,Put,2.3,0.0,0.0,0.004913343
Index Options,NSE,6340.5,7,-337.85000000000036,-5.058884305255046,600,6233.9,6570.0,6678.35,6340.5,6750.0,6538.26,7,6.87,89,-3,7,42000.0,30-Jan-2025,Call,6570.0,0.0,0.0,0.004576782
Index Options,NSE,1.7,43750,-0.8499999999999999,-33.33333333333333,915,1.5,2.25,2.55,1.3,2.45,1.82,43750,11.94,39780,-2018,43750,42000.0,30-Jan-2025,Put,2.25,0.0,0.0,0.0079625
Index Options,NSE,7490.0,0,0.0,0.0,600,5702.8,0.0,7490.0,0.0,0.0,0.0,0,0.0,65,0,0,42500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,2.0,36891,-0.75,-27.27272727272727,2940,1.85,2.55,2.75,1.5,2.9,2.12,36891,11.73,38229,-724,36891,42500.0,30-Jan-2025,Put,2.55,0.0,0.0,0.007820892
Index Options,NSE,5347.1,57,-337.0499999999993,-5.929646473087432,600,5214.5,5600.0,5684.15,5329.0,5885.95,5458.08,57,46.67,1030,-29,57,43000.0,30-Jan-2025,Call,5600.0,0.0,0.0,0.031111055999999998
Index Options,NSE,2.3,153625,-0.8500000000000001,-26.984126984126988,420,1.85,3.0,3.15,1.7,3.5,2.5,153625,57.61,67111,15890,153625,43000.0,30-Jan-2025,Put,3.0,0.0,0.0,0.03840625
Index Options,NSE,4902.95,5,-281.0,-5.420576973157535,600,4745.85,4700.05,5183.95,4700.05,4902.95,4860.2,5,3.65,6,-3,5,43500.0,30-Jan-2025,Call,4700.05,0.0,0.0,0.0024301
Index Options,NSE,2.35,53917,-1.0,-29.850746268656714,885,2.3,3.0,3.35,1.7,3.8,2.54,53917,20.54,45893,-1996,53917,43500.0,30-Jan-2025,Put,3.0,0.0,0.0,0.013694917999999999
Index Options,NSE,0.0,0,0.0,0.0,600,4526.1,0.0,9053.55,0.0,0.0,0.0,0,0.0,0,0,0,43600.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.7,7921,-1.2500000000000002,-42.37288135593221,600,1.75,2.8,2.95,1.5,3.4,2.29,7921,2.72,7537,-15,7921,43600.0,30-Jan-2025,Put,2.8,0.0,0.0,0.001813909
Index Options,NSE,0.0,0,0.0,0.0,600,4430.35,0.0,8959.05,0.0,0.0,0.0,0,0.0,0,0,0,43700.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.05,6299,0.04999999999999982,1.6666666666666607,900,1.9,2.8,3.0,1.5,3.75,2.68,6299,2.53,4771,-559,6299,43700.0,30-Jan-2025,Put,2.8,0.0,0.0,0.001688132
Index Options,NSE,0.0,0,0.0,0.0,600,4417.1,0.0,8864.65,0.0,0.0,0.0,0,0.0,0,0,0,43800.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.8,9060,-1.2,-40.0,900,1.7,3.75,3.0,1.75,3.9,2.86,9060,3.89,6449,2055,9060,43800.0,30-Jan-2025,Put,3.75,0.0,0.0,0.00259116
Index Options,NSE,0.0,0,0.0,0.0,600,4318.05,0.0,8770.5,0.0,0.0,0.0,0,0.0,0,0,0,43900.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.15,10424,0.04999999999999982,1.6129032258064457,2700,1.75,3.5,3.1,1.6,3.55,2.76,10424,4.32,5774,-737,10424,43900.0,30-Jan-2025,Put,3.5,0.0,0.0,0.0028770239999999997
Index Options,NSE,4351.35,79,-279.6999999999998,-6.039667030155145,600,4279.75,4647.05,4631.05,4343.8,4849.4,4456.94,79,52.81,105,-18,79,44000.0,30-Jan-2025,Call,4647.05,0.0,0.0,0.03520982599999999
Index Options,NSE,2.8,99446,-1.0500000000000003,-27.272727272727277,240,2.8,4.1,3.85,2.1,4.1,2.9,99446,43.26,56062,740,99446,44000.0,30-Jan-2025,Put,4.1,0.0,0.0,0.028839339999999998
