Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,8425.0,2,293.35000000000036,3.6075089311517385,600,8170.85,8500.0,8131.65,8425.0,8500.0,8462.5,2,2.54,2,0,2,40500.0,30-Jan-2025,Call,8500.0,0.0,0.0,0.0016925
Index Options,NSE,4.3,94350,-0.2999999999999998,-6.52173913043478,360,4.3,4.1,4.6,3.75,5.05,4.27,94350,60.43,32485,1902,94350,40500.0,30-Jan-2025,Put,4.1,0.0,0.0,0.040287449999999995
Index Options,NSE,0.0,0,0.0,0.0,600,7575.35,0.0,11556.25,0.0,0.0,0.0,0,0.0,0,0,0,41000.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.5,71780,-0.75,-14.285714285714285,105,4.45,4.5,5.25,3.9,5.35,4.42,71780,47.59,46605,-1671,71780,41000.0,30-Jan-2025,Put,4.5,0.0,0.0,0.03172676
Index Options,NSE,0.0,0,0.0,0.0,600,7161.55,0.0,11070.15,0.0,0.0,0.0,0,0.0,0,0,0,41500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.75,43242,-0.75,-13.636363636363635,1050,4.6,5.05,5.5,4.1,5.8,4.72,43242,30.62,23406,-3655,43242,41500.0,30-Jan-2025,Put,5.05,0.0,0.0,0.020410223999999998
Index Options,NSE,6770.0,6,116.5,1.7509581423311038,75,6765.85,6800.0,6653.5,6770.0,6800.0,6790.0,6,6.11,102,4,6,42000.0,30-Jan-2025,Call,6800.0,0.0,0.0,0.004074
Index Options,NSE,4.8,86358,-1.0,-17.24137931034483,4905,4.8,5.1,5.8,4.35,5.8,5.01,86358,64.9,38190,-9368,86358,42000.0,30-Jan-2025,Put,5.1,0.0,0.0,0.043265358
Index Options,NSE,0.0,0,0.0,0.0,600,6166.4,0.0,7490.0,0.0,0.0,0.0,0,0.0,65,0,0,42500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,5.5,84567,-1.0499999999999998,-16.030534351145036,225,5.55,6.8,6.55,5.25,7.0,5.79,84567,73.45,36404,-8908,84567,42500.0,30-Jan-2025,Put,6.8,0.0,0.0,0.048964293
Index Options,NSE,5788.7,113,-687.0,-10.608891702827494,165,5762.3,6450.0,6475.7,5650.0,6476.25,5942.32,113,100.72,1096,-5,113,43000.0,30-Jan-2025,Call,6450.0,0.0,0.0,0.067148216
Index Options,NSE,6.1,125052,-1.0500000000000007,-14.685314685314694,210,6.05,6.6,7.15,6.0,7.75,6.85,125052,128.49,45749,-2293,125052,43000.0,30-Jan-2025,Put,6.6,0.0,0.0,0.08566061999999999
Index Options,NSE,0.0,0,0.0,0.0,600,5148.6,0.0,5163.8,0.0,0.0,0.0,0,0.0,15,0,0,43500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,7.0,88072,-0.75,-9.67741935483871,75,7.0,7.05,7.75,6.35,8.9,7.6,88072,100.4,44568,2377,88072,43500.0,30-Jan-2025,Put,7.05,0.0,0.0,0.06693471999999999
Index Options,NSE,0.0,0,0.0,0.0,600,4375.1,0.0,9053.55,0.0,0.0,0.0,0,0.0,0,0,0,43600.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,6.3,17686,-1.5499999999999998,-19.745222929936304,1125,6.0,7.85,7.85,5.8,8.85,7.15,17686,18.97,5612,2868,17686,43600.0,30-Jan-2025,Put,7.85,0.0,0.0,0.01264549
Index Options,NSE,0.0,0,0.0,0.0,600,4650.3,0.0,8959.05,0.0,0.0,0.0,0,0.0,0,0,0,43700.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,6.5,14103,-1.5500000000000007,-19.254658385093173,255,6.3,7.35,8.05,6.35,9.45,7.65,14103,16.18,3358,2791,14103,43700.0,30-Jan-2025,Put,7.35,0.0,0.0,0.010788795
Index Options,NSE,0.0,0,0.0,0.0,600,4556.25,0.0,8864.65,0.0,0.0,0.0,0,0.0,0,0,0,43800.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,7.4,15732,-0.7999999999999989,-9.756097560975597,60,6.9,8.0,8.2,6.1,10.3,8.25,15732,19.47,2216,1546,15732,43800.0,30-Jan-2025,Put,8.0,0.0,0.0,0.0129789
Index Options,NSE,0.0,0,0.0,0.0,600,4459.85,0.0,8770.5,0.0,0.0,0.0,0,0.0,0,0,0,43900.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,7.6,34971,-0.8499999999999996,-10.059171597633133,120,6.9,8.45,8.45,5.3,10.4,8.48,34971,44.48,6217,4584,34971,43900.0,30-Jan-2025,Put,8.45,0.0,0.0,0.029655408
Index Options,NSE,4775.0,83,-785.0,-14.118705035971225,600,4734.0,5201.45,5560.0,4671.05,5201.45,4811.44,83,59.9,166,62,83,44000.0,30-Jan-2025,Call,5201.45,0.0,0.0,0.039934951999999996
Index Options,NSE,8.75,177091,-0.15000000000000036,-1.68539325842697,105,8.75,8.25,8.9,7.4,11.55,9.63,177091,255.81,53665,-1936,177091,44000.0,30-Jan-2025,Put,8.25,0.0,0.0,0.170538633
Index Options,NSE,0.0,0,0.0,0.0,600,4028.6,0.0,8582.75,0.0,0.0,0.0,0,0.0,0,0,0,44100.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,10.95,33604,1.3999999999999986,14.65968586387433,60,8.95,10.5,9.55,7.15,12.0,10.14,33604,51.11,1623,772,33604,44100.0,30-Jan-2025,Put,10.5,0.0,0.0,0.034074456
Index Options,NSE,0.0,0,0.0,0.0,600,3901.4,0.0,8489.2,0.0,0.0,0.0,0,0.0,0,0,0,44200.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,10.1,34944,0.6500000000000004,6.878306878306882,1350,8.9,9.0,9.45,7.5,13.0,10.42,34944,54.62,1662,1424,34944,44200.0,30-Jan-2025,Put,9.0,0.0,0.0,0.036411648
Index Options,NSE,0.0,0,0.0,0.0,600,3942.1,0.0,8395.85,0.0,0.0,0.0,0,0.0,0,0,0,44300.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,12.5,13242,2.4499999999999993,24.37810945273631,75,10.0,10.05,10.05,8.1,13.75,11.58,13242,23.0,962,604,13242,44300.0,30-Jan-2025,Put,10.05,0.0,0.0,0.015334236000000001
Index Options,NSE,0.0,0,0.0,0.0,600,3675.3,0.0,8302.75,0.0,0.0,0.0,0,0.0,0,0,0,44400.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,11.0,7249,0.40000000000000036,3.7735849056603805,510,9.75,10.5,10.6,8.6,14.55,12.21,7249,13.28,507,90,7249,44400.0,30-Jan-2025,Put,10.5,0.0,0.0,0.008851029000000002
Index Options,NSE,0.0,0,0.0,0.0,600,4169.85,0.0,4982.5,0.0,0.0,0.0,0,0.0,2,0,0,44500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,12.7,170348,1.75,15.981735159817353,810,12.0,9.95,10.95,9.25,15.35,12.64,170348,322.98,43339,4597,170348,44500.0,30-Jan-2025,Put,9.95,0.0,0.0,0.21531987200000002
Index Options,NSE,0.0,0,0.0,0.0,600,3544.1,0.0,8117.2,0.0,0.0,0.0,0,0.0,0,0,0,44600.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,12.3,11161,0.9000000000000004,7.8947368421052655,405,12.3,13.4,11.4,9.65,16.75,13.85,11161,23.19,731,132,11161,44600.0,30-Jan-2025,Put,13.4,0.0,0.0,0.015457985
Index Options,NSE,0.0,0,0.0,0.0,600,3682.4,0.0,8024.8,0.0,0.0,0.0,0,0.0,0,0,0,44700.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,14.4,22800,2.0,16.129032258064516,390,13.9,13.35,12.4,9.75,18.3,15.65,22800,53.52,1932,1115,22800,44700.0,30-Jan-2025,Put,13.35,0.0,0.0,0.035682
Index Options,NSE,0.0,0,0.0,0.0,600,3406.75,0.0,7932.65,0.0,0.0,0.0,0,0.0,0,0,0,44800.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,16.95,22325,4.449999999999999,35.599999999999994,60,16.7,11.2,12.5,11.0,24.7,15.8,22325,52.91,1985,404,22325,44800.0,30-Jan-2025,Put,11.2,0.0,0.0,0.0352735
Index Options,NSE,0.0,0,0.0,0.0,600,3304.5,0.0,7840.75,0.0,0.0,0.0,0,0.0,0,0,0,44900.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,19.8,20634,6.100000000000001,44.525547445255484,675,15.3,13.0,13.7,9.8,21.5,17.53,20634,54.26,1085,129,20634,44900.0,30-Jan-2025,Put,13.0,0.0,0.0,0.036171402000000005
Index Options,NSE,3787.5,682,-692.5500000000002,-15.458532828874679,900,3744.05,4555.75,4480.05,3625.0,4568.7,3886.03,682,397.54,2213,-51,682,45000.0,30-Jan-2025,Call,4555.75,0.0,0.0,0.265027246
Index Options,NSE,20.05,325219,5.25,35.47297297297297,345,20.05,14.25,14.8,11.6,23.85,19.26,325219,939.56,122783,-5561,325219,45000.0,30-Jan-2025,Put,14.25,0.0,0.0,0.6263717940000001
Index Options,NSE,0.0,0,0.0,0.0,600,3553.9,0.0,7657.8,0.0,0.0,0.0,0,0.0,0,0,0,45100.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,24.5,42287,8.65,54.57413249211357,300,20.65,15.0,15.85,13.15,26.0,20.17,42287,127.94,3069,-292,42287,45100.0,30-Jan-2025,Put,15.0,0.0,0.0,0.085292879
Index Options,NSE,0.0,0,0.0,0.0,600,3466.6,0.0,7566.75,0.0,0.0,0.0,0,0.0,0,0,0,45200.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,22.65,39272,5.949999999999999,35.62874251497006,15,22.0,16.0,16.7,13.35,28.8,21.94,39272,129.24,2603,587,39272,45200.0,30-Jan-2025,Put,16.0,0.0,0.0,0.086162768
Index Options,NSE,0.0,0,0.0,0.0,600,3332.0,0.0,7476.0,0.0,0.0,0.0,0,0.0,0,0,0,45300.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,23.9,42611,6.349999999999998,36.182336182336165,150,23.2,18.0,17.55,11.25,31.45,23.24,42611,148.54,12494,1314,42611,45300.0,30-Jan-2025,Put,18.0,0.0,0.0,0.099027964
Index Options,NSE,0.0,0,0.0,0.0,600,3292.35,0.0,7385.55,0.0,0.0,0.0,0,0.0,0,0,0,45400.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,30.95,34301,11.399999999999999,58.31202046035805,300,26.45,17.25,19.55,12.65,35.0,25.44,34301,130.89,1878,-1425,34301,45400.0,30-Jan-2025,Put,17.25,0.0,0.0,0.087261744
Index Options,NSE,3310.9,19,-652.6500000000001,-16.466299151013615,120,3254.6,3200.0,3963.55,3200.0,3321.15,3274.71,19,9.33,27,9,19,45500.0,30-Jan-2025,Call,3200.0,0.0,0.0,0.006221949
Index Options,NSE,30.0,321149,9.5,46.34146341463415,105,31.5,19.5,20.5,16.7,38.7,28.65,321149,1380.14,61154,-4243,321149,45500.0,30-Jan-2025,Put,19.5,0.0,0.0,0.9200918849999999
Index Options,NSE,0.0,0,0.0,0.0,600,3070.0,0.0,7205.6,0.0,0.0,0.0,0,0.0,0,0,0,45600.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,35.45,30832,12.400000000000002,53.79609544468548,1800,30.3,22.15,23.05,18.35,42.7,32.28,30832,149.29,3060,825,30832,45600.0,30-Jan-2025,Put,22.15,0.0,0.0,0.09952569600000001
Index Options,NSE,0.0,0,0.0,0.0,600,2982.25,0.0,3300.0,0.0,0.0,0.0,0,0.0,3,0,0,45700.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,39.75,39082,15.45,63.58024691358024,90,37.7,21.15,24.3,19.35,47.25,34.55,39082,202.54,4280,1207,39082,45700.0,30-Jan-2025,Put,21.15,0.0,0.0,0.13502830999999998
Index Options,NSE,0.0,0,0.0,0.0,600,2878.25,0.0,7026.95,0.0,0.0,0.0,0,0.0,0,0,0,45800.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,43.5,41766,17.25,65.71428571428571,60,40.6,26.0,26.25,21.3,52.6,38.52,41766,241.32,3478,-753,41766,45800.0,30-Jan-2025,Put,26.0,0.0,0.0,0.160882632
Index Options,NSE,0.0,0,0.0,0.0,15,2821.85,0.0,3130.0,0.0,0.0,0.0,0,0.0,5,0,0,45900.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,49.0,38323,20.1,69.55017301038063,60,45.25,25.0,28.9,19.05,57.3,42.41,38323,243.79,7895,-1121,38323,45900.0,30-Jan-2025,Put,25.0,0.0,0.0,0.162527843
Index Options,NSE,2833.8,494,-729.7999999999997,-20.479290605006167,15,2829.75,3474.55,3563.6,2666.8,3491.9,2917.89,494,216.22,1720,107,494,46000.0,30-Jan-2025,Call,3474.55,0.0,0.0,0.14414376599999998
Index Options,NSE,51.1,373400,20.0,64.30868167202573,75,51.05,28.0,31.1,25.25,63.2,46.53,373400,2606.15,89338,-11792,373400,46000.0,30-Jan-2025,Put,28.0,0.0,0.0,1.7374302
Index Options,NSE,2785.7,1,427.39999999999964,18.123224356527988,645,2635.75,2785.7,2358.3,2785.7,2785.7,2785.7,1,0.42,3,0,1,46100.0,30-Jan-2025,Call,2785.7,0.0,0.0,0.00027856999999999996
