Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0.0,0,0.0,0.0,1125,1682.9,0.0,1978.3,0.0,0.0,0.0,0,0.0,5,0,0,21350.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.7,421195,-0.55,-44.00000000000001,335250,0.65,1.15,1.25,0.6,1.7,0.93,421195,293.78,90271,1506,421195,21350.0,23-Jan-2025,Put,1.15,0.0,0.0,0.039171135
Index Options,NSE,0.0,0,0.0,0.0,1125,1634.8,0.0,2704.25,0.0,0.0,0.0,0,0.0,0,0,0,21400.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.65,206358,-0.7499999999999999,-53.57142857142857,205200,0.65,1.25,1.4,0.6,1.8,0.95,206358,147.03,44076,-2846,206358,21400.0,23-Jan-2025,Put,1.25,0.0,0.0,0.019604009999999998
Index Options,NSE,0.0,0,0.0,0.0,1125,1585.05,0.0,2655.1,0.0,0.0,0.0,0,0.0,0,0,0,21450.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.7,66804,-0.8500000000000001,-54.83870967741936,25125,0.7,1.25,1.55,0.65,1.9,1.06,66804,53.11,7975,-625,66804,21450.0,23-Jan-2025,Put,1.25,0.0,0.0,0.0070812240000000005
Index Options,NSE,0.0,0,0.0,0.0,1125,1543.2,0.0,2606.0,0.0,0.0,0.0,0,0.0,0,0,0,21500.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.7,348496,-1.1,-61.111111111111114,124725,0.7,1.3,1.8,0.7,2.05,1.15,348496,300.58,59347,-8241,348496,21500.0,23-Jan-2025,Put,1.3,0.0,0.0,0.040077039999999994
Index Options,NSE,0.0,0,0.0,0.0,1125,1485.3,0.0,2557.0,0.0,0.0,0.0,0,0.0,0,0,0,21550.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.7,65481,-1.1500000000000001,-62.16216216216217,44250,0.7,1.35,1.85,0.7,2.2,1.21,65481,59.42,4645,-2652,65481,21550.0,23-Jan-2025,Put,1.35,0.0,0.0,0.007923201
Index Options,NSE,0.0,0,0.0,0.0,1125,1444.7,0.0,2508.05,0.0,0.0,0.0,0,0.0,0,0,0,21600.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.8,182922,-1.2,-60.0,36675,0.75,1.4,2.0,0.7,2.35,1.24,182922,170.12,23115,-6087,182922,21600.0,23-Jan-2025,Put,1.4,0.0,0.0,0.022682328
Index Options,NSE,0.0,0,0.0,0.0,1125,1417.35,0.0,2459.15,0.0,0.0,0.0,0,0.0,0,0,0,21650.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.75,69679,-1.2999999999999998,-63.41463414634146,7200,0.8,1.6,2.05,0.75,2.45,1.33,69679,69.5,5244,-531,69679,21650.0,23-Jan-2025,Put,1.6,0.0,0.0,0.009267307
Index Options,NSE,0.0,0,0.0,0.0,1125,1344.4,0.0,1550.0,0.0,0.0,0.0,0,0.0,5,0,0,21700.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.8,197424,-1.4000000000000001,-63.63636363636363,38475,0.8,1.6,2.2,0.8,2.4,1.31,197424,193.97,27393,-6972,197424,21700.0,23-Jan-2025,Put,1.6,0.0,0.0,0.025862544
Index Options,NSE,0.0,0,0.0,0.0,1125,1294.75,0.0,2361.75,0.0,0.0,0.0,0,0.0,0,0,0,21750.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,0.9,77964,-1.35,-60.00000000000001,1275,0.9,1.55,2.25,0.8,2.65,1.34,77964,78.35,5651,-587,77964,21750.0,23-Jan-2025,Put,1.55,0.0,0.0,0.010447176
Index Options,NSE,1402.5,3,-75.84999999999991,-5.1307200595258164,450,1275.35,1402.65,1478.35,1388.45,1402.65,1397.86,3,3.15,4,1,3,21800.0,23-Jan-2025,Call,1402.65,0.0,0.0,0.000419358
Index Options,NSE,1.0,283005,-1.35,-57.446808510638306,300,1.05,1.7,2.35,0.95,2.6,1.52,283005,322.63,32450,-15768,283005,21800.0,23-Jan-2025,Put,1.7,0.0,0.0,0.04301676
Index Options,NSE,0.0,0,0.0,0.0,1125,1195.65,0.0,2264.8,0.0,0.0,0.0,0,0.0,0,0,0,21850.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.3,99328,-1.3,-50.0,750,1.15,1.55,2.6,1.15,2.9,1.72,99328,128.13,13704,-3550,99328,21850.0,23-Jan-2025,Put,1.55,0.0,0.0,0.017084416
Index Options,NSE,0.0,0,0.0,0.0,1125,1145.35,0.0,2216.5,0.0,0.0,0.0,0,0.0,0,0,0,21900.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.2,220391,-1.5000000000000002,-55.55555555555556,20925,1.2,1.95,2.7,1.2,3.05,1.84,220391,304.14,28728,-6818,220391,21900.0,23-Jan-2025,Put,1.95,0.0,0.0,0.040551944
Index Options,NSE,0.0,0,0.0,0.0,1125,1095.5,0.0,2168.35,0.0,0.0,0.0,0,0.0,0,0,0,21950.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.35,130761,-1.65,-54.99999999999999,2100,1.3,2.25,3.0,1.3,3.55,2.04,130761,200.06,13245,-2745,130761,21950.0,23-Jan-2025,Put,2.25,0.0,0.0,0.026675244
Index Options,NSE,1085.0,193,-300.25,-21.674787944414366,300,1046.05,1380.0,1385.25,1035.0,1418.0,1106.65,193,160.19,227,69,193,22000.0,23-Jan-2025,Call,1380.0,0.0,0.0,0.021358345
Index Options,NSE,1.6,923273,-1.65,-50.76923076923077,32850,1.5,2.9,3.25,1.4,4.0,2.11,923273,1461.08,129707,-6065,923273,22000.0,23-Jan-2025,Put,2.9,0.0,0.0,0.19481060299999997
Index Options,NSE,0.0,0,0.0,0.0,1125,1018.95,0.0,2072.6,0.0,0.0,0.0,0,0.0,0,0,0,22050.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,1.75,168331,-1.65,-48.529411764705884,900,1.65,2.15,3.4,1.45,4.5,2.35,168331,296.68,12327,-3491,168331,22050.0,23-Jan-2025,Put,2.15,0.0,0.0,0.039557785000000005
Index Options,NSE,960.0,5,-177.5999999999999,-15.611814345991554,375,986.3,1050.0,1137.6,940.0,1050.0,999.6,5,3.75,20,-3,5,22100.0,23-Jan-2025,Call,1050.0,0.0,0.0,0.0004998
Index Options,NSE,1.8,328650,-1.8,-50.0,15975,1.65,3.6,3.6,1.5,5.05,2.56,328650,631.01,27104,-14069,328650,22100.0,23-Jan-2025,Put,3.6,0.0,0.0,0.0841344
Index Options,NSE,1072.75,9,-904.8499999999999,-45.75495550161812,150,936.8,1045.0,1977.6,1040.1,1163.55,1071.4,9,7.23,3,3,9,22150.0,23-Jan-2025,Call,1045.0,0.0,0.0,0.00096426
